Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-05-30,106.6,106.75,106.25,106.39,0,,,,,106.75,106.25,104.58
2000-05-31,106.39,108.25,106.34,108.06,0,,,,,108.25,106.34,104.58
2000-06-01,108.07,109.1,107.78,108.36,0,,,,,109.1,107.78,104.58
2000-06-02,108.35,108.98,107.71,108.1,0,,,,,108.98,107.71,104.58
2000-06-04,108.0,108.23,107.76,108.19,0,,,,,108.23,107.76,104.58
2000-06-05,108.21,108.31,107.3,107.48,0,,,,,108.31,107.3,104.58
2000-06-06,107.53,107.57,105.31,106.12,0,,,,,107.57,105.31,104.58
2000-06-07,106.02,106.07,105.25,105.75,0,,,,,106.07,105.25,104.58
2000-06-08,105.74,106.63,105.53,106.2,0,,,,,106.63,105.53,104.58
2000-06-09,106.2,107.11,106.04,107.11,0,,,,,107.11,106.04,104.58
2000-06-11,106.86,107.21,106.84,106.97,0,,,,,107.21,106.84,104.58
2000-06-12,107.02,107.04,106.39,106.88,0,,,,,107.04,106.39,104.58
2000-06-13,106.89,107.21,106.25,106.85,0,,,,,107.21,106.25,104.58
2000-06-14,106.9,107.01,106.33,106.61,0,,,,47.82860551449207,107.01,106.33,104.58
2000-06-15,106.6,106.74,106.11,106.54,0,,,,46.91546284756625,106.74,106.11,104.58
2000-06-16,106.32,106.5,106.08,106.44,0,,,,45.57676951767258,106.5,106.08,104.58
2000-06-18,106.39,106.55,106.17,106.25,0,,,,43.062550390358794,106.55,106.17,104.58
2000-06-19,106.24,106.3,105.51,105.77,0,,,,37.44298903345282,106.3,105.51,104.58
2000-06-20,105.73,105.84,105.24,105.49,0,,,,34.60601271651623,105.84,105.24,104.58
2000-06-21,105.51,105.67,105.21,105.27,0,108.52575642775919,106.7415,104.95724357224081,32.521046398437974,105.67,105.21,104.58
