Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1
2005-01-03,102.58,103.0,102.46,102.66,0,,,,,103.0,102.46,102.12,121.4
2005-01-04,102.67,104.83,102.51,104.44,0,,,,,104.83,102.51,102.12,121.4
2005-01-05,104.45,105.05,103.78,104.28,0,,,,,105.05,103.78,102.12,121.4
2005-01-06,104.29,105.22,104.03,104.71,0,,,,,105.22,104.03,102.12,121.4
2005-01-07,104.7,105.14,103.88,104.83,0,,,,,105.14,103.88,102.12,121.4
2005-01-08,104.83,104.83,104.83,104.83,0,,,,,104.83,104.83,102.12,121.4
2005-01-09,104.83,104.86,104.59,104.67,0,,,,,104.86,104.59,102.12,121.4
2005-01-10,104.66,104.82,103.92,103.99,0,,,,,104.82,103.92,102.12,121.4
2005-01-11,104.0,104.23,103.14,103.48,0,,,,,104.23,103.14,102.12,121.4
2005-01-12,103.49,103.56,102.17,102.47,0,,,,,103.56,102.17,102.12,121.4
2005-01-13,102.46,103.02,102.26,102.93,0,,,,,103.02,102.26,102.12,121.4
2005-01-14,102.77,103.22,101.79,102.12,0,,,,,103.22,101.79,102.12,121.4
2005-01-15,102.12,102.12,102.12,102.12,0,,,,,102.12,102.12,102.12,121.4
2005-01-16,102.12,102.2,101.89,102.19,0,,,,37.407085955101024,102.2,101.89,102.12,121.4
2005-01-17,102.18,102.63,101.71,102.45,0,,,,41.66130245189568,102.63,101.71,102.12,121.4
2005-01-18,102.46,103.01,102.18,102.48,0,,,,42.14987750681624,103.01,102.18,102.12,121.4
2005-01-19,102.48,102.99,102.06,102.64,0,,,,44.80484337315116,102.99,102.06,102.12,121.4
2005-01-20,102.63,103.64,102.53,103.43,0,,,,55.63203775391037,103.64,102.53,102.12,121.4
2005-01-21,103.44,103.96,102.65,102.71,0,,,,46.65031521550274,103.96,102.65,102.12,121.4
2005-01-22,102.71,102.71,102.71,102.71,0,105.26200485932898,103.30699999999999,101.351995140671,46.650315215502744,102.71,102.71,102.12,121.4
2005-01-23,102.71,103.0,102.71,102.9,0,105.26087435226896,103.319,101.37712564773105,49.162267081381344,103.0,102.71,102.12,121.4
2005-01-24,102.89,103.05,102.53,102.82,0,105.12031347017441,103.23800000000001,101.35568652982562,48.13458738077317,103.05,102.53,102.12,121.4
2005-01-25,102.83,104.37,102.76,103.46,0,105.02157775937339,103.197,101.37242224062662,56.049781729213684,104.37,102.76,102.12,121.4
2005-01-26,103.45,103.68,102.78,103.21,0,104.80983411507172,103.122,101.43416588492828,52.6685142244682,103.68,102.78,102.12,121.4
2005-01-27,103.22,103.55,102.38,103.25,0,104.54087983496673,103.043,101.54512016503328,53.15544740207594,103.55,102.38,102.12,121.4
2005-01-28,103.26,103.79,103.02,103.38,0,104.23804053189627,102.97049999999999,101.7029594681037,54.783557115634395,103.79,103.02,102.12,121.4
2005-01-29,103.38,103.38,103.38,103.38,0,103.92869056903831,102.90599999999999,101.88330943096167,54.783557115634395,103.38,103.38,102.12,121.4
2005-01-30,103.38,103.72,103.38,103.55,0,103.82840245658294,102.88399999999999,101.93959754341704,57.04761136194608,103.72,103.38,102.12,121.4
