Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-01-03,92.97,93.09,92.69,92.74,0,,,,,93.09,92.69,80.38,90.9,91.74,94.61
2010-01-04,92.75,93.21,91.63,91.7,0,,,,,93.21,91.63,80.38,90.9,91.74,94.61
2010-01-05,91.69,92.16,91.25,92.06,0,,,,,92.16,91.25,80.38,90.9,91.74,94.61
2010-01-06,92.05,92.74,91.96,92.28,0,,,,,92.74,91.96,80.38,90.9,91.74,94.61
2010-01-07,92.29,93.77,92.11,93.17,0,,,,,93.77,92.11,80.38,90.9,91.74,94.61
2010-01-08,93.16,93.47,92.28,92.65,0,,,,,93.47,92.28,80.38,90.9,91.74,94.61
2010-01-10,92.6,92.62,92.18,92.34,0,,,,,92.62,92.18,80.38,90.9,91.74,94.61
2010-01-11,92.33,92.66,91.81,92.2,0,,,,,92.66,91.81,80.38,90.9,91.74,94.61
2010-01-12,92.19,92.29,90.72,91.1,0,,,,,92.29,90.72,80.38,90.9,91.74,94.61
2010-01-13,91.09,91.79,90.99,91.76,0,,,,,91.79,90.99,80.38,90.9,91.74,94.61
2010-01-14,91.77,92.03,90.84,91.09,0,,,,,92.03,90.84,80.38,90.9,91.74,94.61
2010-01-15,91.08,91.21,90.6,90.83,0,,,,,91.21,90.6,80.38,90.9,91.74,94.61
2010-01-17,90.78,91.0,90.72,90.9,0,,,,,91.0,90.72,80.38,90.9,91.74,94.61
2010-01-18,90.91,91.06,90.38,90.39,0,,,,29.719046835630664,91.06,90.38,80.38,90.9,91.74,94.61
2010-01-19,90.4,91.36,90.31,91.17,0,,,,41.21411205848161,91.36,90.31,80.38,90.9,91.74,94.61
2010-01-20,91.16,91.66,90.79,91.58,0,,,,46.19566764825861,91.66,90.79,80.38,90.9,91.74,94.61
2010-01-21,91.57,91.87,89.78,89.97,0,,,,34.008431971346354,91.87,89.78,80.38,90.9,91.74,94.61
