Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1,resistance_level_2
2011-01-02,81.22,81.36,80.92,81.24,0,,,,,81.36,80.92,76.51,76.29,75.81,83.72,85.4
2011-01-03,81.25,82.14,81.21,82.12,0,,,,,82.14,81.21,76.51,76.29,75.81,83.72,85.4
2011-01-04,82.11,82.27,81.67,81.93,0,,,,,82.27,81.67,76.51,76.29,75.81,83.72,85.4
2011-01-05,81.94,83.38,81.87,83.23,0,,,,,83.38,81.87,76.51,76.29,75.81,83.72,85.4
2011-01-06,83.24,83.47,82.87,83.46,0,,,,,83.47,82.87,76.51,76.29,75.81,83.72,85.4
2011-01-07,83.45,83.67,82.84,83.16,0,,,,,83.67,82.84,76.51,76.29,75.81,83.72,85.4
2011-01-09,83.22,83.25,82.93,83.09,0,,,,,83.25,82.93,76.51,76.29,75.81,83.72,85.4
2011-01-10,83.1,83.27,82.66,83.01,0,,,,,83.27,82.66,76.51,76.29,75.81,83.72,85.4
2011-01-11,83.02,83.48,82.89,83.12,0,,,,,83.48,82.89,76.51,76.29,75.81,83.72,85.4
2011-01-12,83.13,83.45,82.8,83.0,0,,,,,83.45,82.8,76.51,76.29,75.81,83.72,85.4
2011-01-13,83.01,83.12,82.54,82.55,0,,,,,83.12,82.54,76.51,76.29,75.81,83.72,85.4
2011-01-14,82.54,83.05,82.4,82.86,0,,,,,83.05,82.4,76.51,76.29,75.81,83.72,85.4
2011-01-16,82.79,83.0,82.79,82.89,0,,,,,83.0,82.79,76.51,76.29,75.81,83.72,85.4
2011-01-17,82.88,82.98,82.34,82.5,0,,,,55.4280314186416,82.98,82.34,76.51,76.29,75.81,83.72,85.4
2011-01-18,82.51,82.82,82.11,82.2,0,,,,49.4103195644584,82.82,82.11,76.51,76.29,75.81,83.72,85.4
2011-01-19,82.21,82.29,81.84,82.11,0,,,,47.735942099563374,82.29,81.84,76.51,76.29,75.81,83.72,85.4
2011-01-20,82.12,83.11,82.04,82.94,0,,,,60.89643889219367,83.11,82.04,76.51,76.29,75.81,83.72,85.4
2011-01-21,82.93,82.95,82.52,82.56,0,,,,54.17092331456458,82.95,82.52,76.51,76.29,75.81,83.72,85.4
2011-01-23,82.54,82.8,82.53,82.76,0,,,,56.870754616265046,82.8,82.53,76.51,76.29,75.81,83.72,85.4
2011-01-24,82.75,82.91,82.29,82.41,0,83.70541022505506,82.65700000000001,81.60858977494496,51.18767598654631,82.91,82.29,76.51,76.29,75.81,83.72,85.4
2011-01-25,82.42,82.65,81.97,82.03,0,83.57397991430004,82.6965,81.81902008569996,45.83255841478886,82.65,81.97,76.51,76.29,75.81,83.72,85.4
2011-01-26,82.02,82.6,81.97,82.14,0,83.57239142183474,82.6975,81.82260857816527,47.543353115044724,82.6,81.97,76.51,76.29,75.81,83.72,85.4
2011-01-27,82.15,83.2,82.12,82.69,0,83.53666103250221,82.7355,81.9343389674978,55.16773950337459,83.2,82.12,76.51,76.29,75.81,83.72,85.4
2011-01-28,82.68,82.7,81.98,82.12,0,83.49018516402117,82.68,81.86981483597884,47.46760150706466,82.7,81.98,76.51,76.29,75.81,83.72,85.4
2011-01-30,82.0,82.22,81.98,82.03,0,83.38230294649219,82.6085,81.83469705350782,46.36713725479129,82.22,81.98,76.51,76.29,75.81,83.72,85.4
2011-01-31,82.04,82.25,81.88,81.89,0,83.33560736146329,82.54499999999999,81.75439263853669,44.63368607152592,82.25,81.88,76.51,76.29,75.81,83.72,85.4
2011-02-01,81.88,81.91,81.3,81.46,0,83.34357442867064,82.4635,81.58342557132936,39.72172882365719,81.91,81.3,76.51,76.29,75.81,83.72,85.4
2011-02-02,81.47,81.85,81.35,81.63,0,83.30811862940723,82.39450000000001,81.48088137059278,42.41966196475767,81.85,81.35,76.51,76.29,75.81,83.72,85.4
2011-02-03,81.62,82.05,81.39,81.58,0,83.23313912105147,82.3175,81.40186087894853,41.82669606066341,82.05,81.39,76.51,76.29,75.81,83.72,85.4
2011-02-04,81.57,82.46,81.11,82.17,0,83.13779812021139,82.276,81.4142018797886,50.60159520986128,82.46,81.11,76.51,76.29,75.81,83.72,85.4
2011-02-06,82.17,82.27,82.15,82.22,0,83.11227136443473,82.25949999999999,81.40672863556524,51.272399917610265,82.27,82.15,76.51,76.29,75.81,83.72,85.4
