Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-01-02,76.948,77.002,76.816,76.821,0,,,,,77.002,76.816,76.651,76.152
2012-01-03,76.822,76.876,76.609,76.664,0,,,,,76.876,76.609,76.651,76.152
2012-01-04,76.663,76.824,76.601,76.721,0,,,,,76.824,76.601,76.651,76.152
2012-01-05,76.723,77.235,76.708,77.191,0,,,,,77.235,76.708,76.651,76.152
2012-01-06,77.19,77.329,76.952,76.958,0,,,,,77.329,76.952,76.651,76.152
2012-01-08,76.897,77.001,76.784,76.921,0,,,,,77.001,76.784,76.651,76.152
2012-01-09,76.92,76.936,76.763,76.79,0,,,,,76.936,76.763,76.651,76.152
2012-01-10,76.787,76.933,76.767,76.904,0,,,,,76.933,76.767,76.651,76.152
2012-01-11,76.905,77.032,76.818,76.848,0,,,,,77.032,76.818,76.651,76.152
2012-01-12,76.847,76.972,76.66,76.751,0,,,,,76.972,76.66,76.651,76.152
2012-01-13,76.75,76.996,76.654,76.954,0,,,,,76.996,76.654,76.651,76.152
2012-01-15,77.056,77.056,76.806,76.822,0,,,,,77.056,76.806,76.651,76.152
2012-01-16,76.819,76.87,76.677,76.718,0,,,,,76.87,76.677,76.651,76.152
2012-01-17,76.717,76.837,76.546,76.651,0,,,,41.95777260875903,76.837,76.546,76.651,76.152
2012-01-18,76.65,76.864,76.646,76.747,0,,,,46.72426840325291,76.864,76.646,76.651,76.152
2012-01-19,76.746,77.309,76.691,77.1,0,,,,59.79780451027871,77.309,76.691,76.651,76.152
2012-01-20,77.098,77.297,76.906,77.003,0,,,,55.74938558824054,77.297,76.906,76.651,76.152
2012-01-22,76.951,77.071,76.928,77.039,0,,,,56.91522696914497,77.071,76.928,76.651,76.152
2012-01-23,77.04,77.073,76.857,77.012,0,,,,55.72932205737872,77.073,76.857,76.651,76.152
2012-01-24,77.013,77.971,76.986,77.864,0,77.44304863224632,76.92395,76.4048513677537,74.08160296500036,77.971,76.986,76.651,76.152
2012-01-25,77.863,78.274,77.554,77.668,0,77.57530873556954,76.9663,76.35729126443047,67.18194433186831,78.274,77.554,76.651,76.152
2012-01-26,77.663,77.706,76.888,76.969,0,77.57458101942478,76.98155,76.38851898057521,49.482049066404024,77.706,76.888,76.651,76.152
2012-01-27,76.967,77.165,76.643,76.684,0,77.57619144168211,76.97970000000001,76.3832085583179,44.3513415637579,77.165,76.643,76.651,76.152
2012-01-29,76.679,76.769,76.645,76.659,0,77.55693106909135,76.9531,76.34926893090866,43.92112917752691,76.769,76.645,76.651,76.152
2012-01-30,76.66,76.745,76.167,76.172,0,77.60694691083495,76.91380000000001,76.22065308916507,36.49470655073728,76.745,76.167,76.651,76.152
2012-01-31,76.173,76.41,76.136,76.187,0,77.6391382930011,76.8771,76.1150617069989,36.84889476082688,76.41,76.136,76.651,76.152
2012-02-01,76.186,76.344,76.017,76.152,0,77.66998399596503,76.8452,76.02041600403498,36.33960395956665,76.344,76.017,76.651,76.152
2012-02-02,76.151,76.252,76.037,76.183,0,77.68212222750786,76.80915,75.93617777249214,37.16792953275299,76.252,76.037,76.651,76.152
2012-02-03,76.182,76.729,76.158,76.597,0,77.67418199616904,76.7966,75.91901800383096,47.072515347624304,76.729,76.158,76.651,76.152
2012-02-05,76.591,76.791,76.486,76.751,0,77.67418199616904,76.7966,75.91901800383096,50.21626182082147,76.791,76.486,76.651,76.152
2012-02-06,76.753,76.794,76.506,76.711,0,77.65970435731566,76.78445,75.90919564268435,49.39557351259089,76.794,76.506,76.651,76.152
2012-02-07,76.712,77.095,76.614,77.03,0,77.67656112616324,76.79485,75.91313887383676,55.62423960058879,77.095,76.614,76.651,76.152
2012-02-08,77.031,77.222,76.7,77.164,0,77.71241449164481,76.81715,75.92188550835519,57.96479288431537,77.222,76.7,76.651,76.152
2012-02-09,77.163,77.743,77.101,77.634,0,77.82534287703942,76.8663,75.90725712296057,64.9481119250693,77.743,77.101,76.651,76.152
2012-02-10,77.633,77.798,77.541,77.6,0,77.91756478771633,76.90895,75.90033521228368,64.11826838112603,77.798,77.541,76.651,76.152
2012-02-12,77.555,77.773,77.555,77.578,0,77.98034439616642,76.93285,75.88535560383359,63.55243271873568,77.773,77.555,76.651,76.152
2012-02-13,77.579,77.95,77.355,77.876,0,78.10190899232236,76.9765,75.85109100767764,67.709283875517,77.95,77.355,76.651,76.152
