Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,resistance_level_1
2014-01-01,105.243,105.397,105.229,105.284,0,,,,,105.397,105.229,101.264,101.156,121.533
2014-01-02,105.283,105.433,104.15,104.202,0,,,,,105.433,104.15,101.264,101.156,121.533
2014-01-03,104.203,104.877,104.066,104.833,0,,,,,104.877,104.066,101.264,101.156,121.533
2014-01-05,104.822,104.94,104.139,104.366,0,,,,,104.94,104.139,101.264,101.156,121.533
2014-01-06,104.363,104.83,103.901,104.453,0,,,,,104.83,103.901,101.264,101.156,121.533
2014-01-07,104.454,104.953,104.24,104.945,0,,,,,104.953,104.24,101.264,101.156,121.533
2014-01-08,104.943,105.115,104.655,104.862,0,,,,,105.115,104.655,101.264,101.156,121.533
2014-01-09,104.86,105.05,104.57,104.912,0,,,,,105.05,104.57,101.264,101.156,121.533
2014-01-10,104.911,105.339,103.82,104.174,0,,,,,105.339,103.82,101.264,101.156,121.533
2014-01-12,103.98,104.127,103.251,103.391,0,,,,,104.127,103.251,101.264,101.156,121.533
2014-01-13,103.39,103.562,102.847,103.274,0,,,,,103.562,102.847,101.264,101.156,121.533
2014-01-14,103.275,104.463,103.226,104.417,0,,,,,104.463,103.226,101.264,101.156,121.533
2014-01-15,104.419,104.914,104.208,104.716,0,,,,,104.914,104.208,101.264,101.156,121.533
2014-01-16,104.715,104.786,104.142,104.386,0,,,,45.8668410194233,104.786,104.142,101.264,101.156,121.533
2014-01-17,104.385,104.466,104.199,104.285,0,,,,44.68792925207063,104.466,104.199,101.264,101.156,121.533
2014-01-19,104.208,104.313,103.853,104.06,0,,,,42.09236587899518,104.313,103.853,101.264,101.156,121.533
2014-01-20,104.057,104.685,103.908,104.636,0,,,,50.085114181237735,104.685,103.908,101.264,101.156,121.533
2014-01-21,104.638,104.74,103.962,104.194,0,,,,44.95716511989498,104.74,103.962,101.264,101.156,121.533
2014-01-22,104.195,104.833,104.19,104.292,0,,,,46.27067961943623,104.833,104.19,101.264,101.156,121.533
2014-01-23,104.293,104.433,102.964,103.229,0,105.42004215446183,104.34555,103.27105784553818,36.184103559355655,104.433,102.964,101.264,101.156,121.533
2014-01-24,103.23,103.541,101.993,102.32,0,105.50544529851615,104.19735,102.88925470148385,30.134612923874073,103.541,101.993,101.264,101.156,121.533
2014-01-26,102.221,102.533,101.766,102.464,0,105.62101379871888,104.11044999999999,102.5998862012811,32.072072489966075,102.533,101.766,101.264,101.156,121.533
2014-01-27,102.466,102.921,102.188,102.675,0,105.59720387780548,104.00255,102.40789612219451,34.91996128838497,102.921,102.188,101.264,101.156,121.533
2014-01-28,102.677,103.436,102.57,103.237,0,105.56504062892995,103.9461,102.32715937107005,41.90619383931606,103.436,102.57,101.264,101.156,121.533
2014-01-29,103.239,103.356,101.835,102.464,0,105.56982791014164,103.84665,102.12347208985835,36.15690251656817,103.356,101.835,101.264,101.156,121.533
2014-01-30,102.465,102.925,102.116,102.403,0,105.47462122077714,103.71955,101.96447877922286,35.74019812445704,102.925,102.116,101.264,101.156,121.533
2014-01-31,102.4,102.762,101.945,102.045,0,105.39548431301026,103.5787,101.76191568698974,33.31360810433638,102.762,101.945,101.264,101.156,121.533
2014-02-02,101.996,102.401,101.966,102.336,0,105.23530481684132,103.4499,101.66449518315868,37.054692102033194,102.401,101.966,101.264,101.156,121.533
2014-02-03,102.337,102.349,100.769,101.264,0,105.29280563266157,103.30440000000002,101.31599436733846,30.30910402643363,102.349,100.769,101.264,101.156,121.533
2014-02-04,101.265,101.757,100.748,101.428,0,105.35517967544315,103.20625,101.05732032455684,32.33843277230612,101.757,100.748,101.264,101.156,121.533
2014-02-05,101.43,101.654,100.794,101.588,0,105.38298989128901,103.12195,100.86091010871098,34.347024146912744,101.654,100.794,101.264,101.156,121.533
2014-02-06,101.584,102.164,101.234,102.039,0,105.22900547799146,103.00304999999999,100.77709452200851,39.77419388535496,102.164,101.234,101.264,101.156,121.533
2014-02-07,102.04,102.57,101.437,102.345,0,104.98174290438668,102.8845,100.78725709561333,43.20472053426223,102.57,101.437,101.264,101.156,121.533
2014-02-09,102.533,102.636,102.313,102.427,0,104.77426521853616,102.78655,100.79883478146385,44.12323612171157,102.636,102.313,101.264,101.156,121.533
2014-02-10,102.425,102.456,101.984,102.182,0,104.56044533207698,102.68140000000001,100.80235466792304,41.940769551511046,102.456,101.984,101.264,101.156,121.533
2014-02-11,102.183,102.694,102.138,102.55,0,104.3754637767541,102.60589999999999,100.83633622324588,46.24197296582965,102.694,102.138,101.264,101.156,121.533
2014-02-12,102.551,102.628,102.082,102.126,0,103.99372566224203,102.4804,100.96707433775798,42.34913791451145,102.628,102.082,101.264,101.156,121.533
2014-02-13,102.124,102.4,101.644,101.823,0,103.67831804366845,102.36184999999999,101.04538195633152,39.77238521922083,102.4,101.644,101.264,101.156,121.533
2014-02-14,101.825,101.978,101.561,101.83,0,103.23069291670451,102.23875,101.24680708329548,39.86341992362043,101.978,101.561,101.264,101.156,121.533
2014-02-16,101.63,101.808,101.378,101.588,0,103.0762640488842,102.1567,101.2371359511158,37.73963271398182,101.808,101.378,101.264,101.156,121.533
2014-02-17,101.59,102.602,101.55,102.519,0,103.09730617174137,102.16665,101.23599382825864,48.997304314235265,102.602,101.55,101.264,101.156,121.533
2014-02-18,102.525,102.733,102.13,102.24,0,103.07686835775085,102.15545,101.23403164224915,46.29572928902193,102.733,102.13,101.264,101.156,121.533
2014-02-19,102.239,102.458,101.843,101.937,0,103.01248679306778,102.11855,101.22461320693222,43.491143185852664,102.458,101.843,101.264,101.156,121.533
2014-02-20,101.938,102.533,101.661,102.493,0,102.83728922374772,102.08135,101.32541077625228,49.532773314595474,102.533,101.661,101.264,101.156,121.533
2014-02-21,102.492,102.82,102.336,102.495,0,102.84209138562046,102.08290000000001,101.32370861437956,49.553666617744156,102.82,102.336,101.264,101.156,121.533
2014-02-23,102.471,102.672,102.157,102.237,0,102.82316700434919,102.0746,101.32603299565082,46.85864774327054,102.672,102.157,101.264,101.156,121.533
2014-02-24,102.234,102.618,102.19,102.547,0,102.87577321819549,102.0997,101.3236267818045,50.35254160819135,102.618,102.19,101.264,101.156,121.533
2014-02-25,102.545,102.552,101.999,102.309,0,102.87286669446198,102.09835,101.32383330553802,47.75651193438412,102.552,101.999,101.264,101.156,121.533
2014-02-26,102.31,102.602,102.094,102.328,0,102.82969083345593,102.15155,101.47340916654407,47.9870597371315,102.602,102.094,101.264,101.156,121.533
2014-02-27,102.329,102.39,101.55,101.599,0,102.80503407415044,102.1601,101.51516592584956,40.586435636697075,102.39,101.55,101.264,101.156,121.533
2014-02-28,101.598,102.285,101.546,101.765,0,102.78651602076238,102.16895,101.55138397923761,42.75151320234649,102.285,101.546,101.264,101.156,121.533
2014-03-02,101.485,101.66,101.247,101.416,0,102.83602334535612,102.1378,101.43957665464387,39.493065741410476,101.66,101.247,101.264,101.156,121.533
2014-03-03,101.417,101.726,101.192,101.657,0,102.82480817849557,102.1034,101.38199182150441,42.738679880650864,101.726,101.192,101.264,101.156,121.533
2014-03-04,101.654,102.279,101.623,102.231,0,102.80237257283301,102.09360000000001,101.38482742716701,49.66414184140953,102.279,101.623,101.264,101.156,121.533
2014-03-05,102.227,102.75,102.109,102.707,0,102.87701002932029,102.11985,101.36268997067971,54.57096745797293,102.75,102.109,101.264,101.156,121.533
2014-03-06,102.708,103.159,102.601,102.974,0,102.96591495258333,102.14105,101.31618504741668,57.09733431866616,103.159,102.601,101.264,101.156,121.533
2014-03-07,102.973,103.752,102.832,103.27,0,103.15854951056964,102.19825,101.23795048943036,59.76846227787911,103.752,102.832,101.264,101.156,121.533
2014-03-09,103.031,103.286,102.966,103.105,0,103.2831420993034,102.26235,101.24155790069659,57.61506868494211,103.286,102.966,101.264,101.156,121.533
2014-03-10,103.107,103.416,102.927,103.276,0,103.42516332408194,102.33465,101.24413667591806,59.25353718873614,103.416,102.927,101.264,101.156,121.533
2014-03-11,103.278,103.35,102.772,103.017,0,103.47867725129719,102.4061,101.3335227487028,55.73895447324652,103.35,102.772,101.264,101.156,121.533
2014-03-12,103.016,103.05,102.541,102.718,0,103.49629672644735,102.41605,101.33580327355264,51.91093246854568,103.05,102.541,101.264,101.156,121.533
2014-03-13,102.719,102.81,101.534,101.676,0,103.51350008328531,102.38785,101.26219991671469,41.272890356639984,102.81,101.534,101.264,101.156,121.533
2014-03-14,101.677,101.797,101.2,101.35,0,103.557839735021,102.3585,101.15916026497901,38.60722271301555,101.797,101.2,101.264,101.156,121.533
2014-03-16,101.266,101.555,101.264,101.52,0,103.56122800444162,102.30985000000001,101.0584719955584,40.756048175406626,101.555,101.264,101.264,101.156,121.533
2014-03-17,101.518,101.933,101.422,101.769,0,103.54332312540481,102.27355,101.00377687459519,43.85577932781543,101.933,101.422,101.264,101.156,121.533
2014-03-18,101.771,101.853,101.27,101.361,0,103.56051382202114,102.22975,100.89898617797886,40.14897259252868,101.853,101.27,101.264,101.156,121.533
