Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1
2016-01-03,120.172,120.464,119.472,119.536,0,,,,,120.464,119.472,116.95,111.749,111.248,121.248
2016-01-04,119.536,119.7,118.701,119.542,0,,,,,119.7,118.701,116.95,111.749,111.248,121.248
2016-01-05,119.542,119.579,118.353,118.72,0,,,,,119.579,118.353,116.95,111.749,111.248,121.248
2016-01-06,118.723,118.796,117.661,117.971,0,,,,,118.796,117.661,116.95,111.749,111.248,121.248
2016-01-07,117.971,118.594,117.327,118.341,0,,,,,118.594,117.327,116.95,111.749,111.248,121.248
2016-01-08,118.34,118.836,117.206,117.214,0,,,,,118.836,117.206,116.95,111.749,111.248,121.248
2016-01-10,117.202,117.445,116.69,117.388,0,,,,,117.445,116.69,116.95,111.749,111.248,121.248
2016-01-11,117.387,118.023,117.096,117.494,0,,,,,118.023,117.096,116.95,111.749,111.248,121.248
2016-01-12,117.494,118.357,117.223,118.305,0,,,,,118.357,117.223,116.95,111.749,111.248,121.248
2016-01-13,118.304,118.377,117.293,117.407,0,,,,,118.377,117.293,116.95,111.749,111.248,121.248
2016-01-14,117.405,118.281,117.394,117.743,0,,,,,118.281,117.394,116.95,111.749,111.248,121.248
2016-01-15,117.745,117.93,116.508,117.014,0,,,,,117.93,116.508,116.95,111.749,111.248,121.248
2016-01-17,116.676,117.362,116.665,117.132,0,,,,,117.362,116.665,116.95,111.749,111.248,121.248
2016-01-18,117.131,117.703,117.01,117.557,0,,,,39.5526471130074,117.703,117.01,116.95,111.749,111.248,121.248
2016-01-19,117.558,118.113,116.885,116.95,0,,,,34.40319124254067,118.113,116.885,116.95,111.749,111.248,121.248
2016-01-20,116.949,117.474,115.974,116.997,0,,,,35.10767818777205,117.474,115.974,116.95,111.749,111.248,121.248
2016-01-21,116.997,117.946,116.469,117.91,0,,,,47.01246353945138,117.946,116.469,116.95,111.749,111.248,121.248
2016-01-22,117.907,118.878,117.864,118.752,0,,,,55.178966435898964,118.878,117.864,116.95,111.749,111.248,121.248
2016-01-24,118.647,118.855,118.43,118.73,0,,,,54.94070601714029,118.855,118.43,116.95,111.749,111.248,121.248
2016-01-25,118.731,118.847,118.01,118.013,0,119.49697258495017,117.9358,116.37462741504983,47.71017046533592,118.847,118.01,116.95,111.749,111.248,121.248
2016-01-26,118.013,118.62,117.656,118.317,0,119.26745005385608,117.87485,116.48224994614391,50.674244757665434,118.62,117.656,116.95,111.749,111.248,121.248
2016-01-27,118.316,119.065,118.075,118.683,0,119.05937690813309,117.83189999999999,116.60442309186689,54.051293535498466,119.065,118.075,116.95,111.749,111.248,121.248
2016-01-28,118.683,121.434,118.44,120.034,0,119.41468212038767,117.89759999999998,116.3805178796123,63.88131501958631,121.434,118.44,116.95,111.749,111.248,121.248
2016-01-29,120.035,121.686,119.98,121.12,0,120.12339982292647,118.05504999999998,115.98670017707349,69.52523340454636,121.686,119.98,116.95,111.749,111.248,121.248
2016-01-31,121.3,121.487,121.102,121.248,0,120.69363022603208,118.20039999999999,115.70716977396789,70.11791911907159,121.487,121.102,116.95,111.749,111.248,121.248
2016-02-01,121.249,121.408,120.531,120.613,0,121.02933396196745,118.37035,115.71136603803255,63.5181278601515,121.408,120.531,116.95,111.749,111.248,121.248
2016-02-02,120.611,120.861,119.418,119.618,0,121.15370151346406,118.48185000000001,115.80999848653596,54.81224516655817,120.861,119.418,116.95,111.749,111.248,121.248
2016-02-03,119.616,120.043,117.05,117.931,0,121.14990453480077,118.50370000000001,115.85749546519925,43.84066986017924,120.043,117.05,116.95,111.749,111.248,121.248
2016-02-04,117.93,118.169,116.527,116.7,0,121.1837776236708,118.42345,115.6631223763292,37.88196886504818,118.169,116.527,116.95,111.749,111.248,121.248
2016-02-05,116.699,117.428,116.29,116.797,0,121.21041719413023,118.39295,115.57548280586977,38.59025714489545,117.428,116.29,116.95,111.749,111.248,121.248
