Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-01-01,108.73,108.759,108.575,108.741,0,,,,,108.759,108.575,102.816,110.186,111.975
2020-01-02,108.741,108.864,107.999,108.132,0,,,,,108.864,107.999,102.816,110.186,111.975
2020-01-03,108.133,108.267,107.839,108.047,0,,,,,108.267,107.839,102.816,110.186,111.975
2020-01-05,107.838,108.122,107.77,108.061,0,,,,,108.122,107.77,102.816,110.186,111.975
2020-01-06,108.062,108.505,107.926,108.497,0,,,,,108.505,107.926,102.816,110.186,111.975
2020-01-07,108.497,108.629,107.651,108.313,0,,,,,108.629,107.651,102.816,110.186,111.975
2020-01-08,108.317,109.255,108.274,109.215,0,,,,,109.255,108.274,102.816,110.186,111.975
2020-01-09,109.214,109.582,109.207,109.549,0,,,,,109.582,109.207,102.816,110.186,111.975
2020-01-10,109.547,109.689,109.432,109.451,0,,,,,109.689,109.432,102.816,110.186,111.975
2020-01-12,109.528,109.636,109.504,109.628,0,,,,,109.636,109.504,102.816,110.186,111.975
2020-01-13,109.629,110.212,109.616,110.069,0,,,,,110.212,109.616,102.816,110.186,111.975
2020-01-14,110.068,110.132,109.817,109.891,0,,,,,110.132,109.817,102.816,110.186,111.975
2020-01-15,109.891,110.001,109.788,109.928,0,,,,,110.001,109.788,102.816,110.186,111.975
2020-01-16,109.928,110.29,109.926,110.182,0,,,,74.1793956852627,110.29,109.926,102.816,110.186,111.975
2020-01-17,110.181,110.254,110.047,110.102,0,,,,71.57238560725716,110.254,110.047,102.816,110.186,111.975
2020-01-19,110.083,110.217,110.079,110.186,0,,,,72.65893344912838,110.217,110.079,102.816,110.186,111.975
2020-01-20,110.187,110.223,109.897,109.967,0,,,,65.61725765537508,110.223,109.897,102.816,110.186,111.975
2020-01-21,109.969,110.12,109.761,110.004,0,,,,66.21302758202705,110.12,109.761,102.816,110.186,111.975
2020-01-22,110.005,110.061,109.575,109.615,0,,,,55.35340010560216,110.061,109.575,102.816,110.186,111.975
2020-01-23,109.617,109.651,109.266,109.54,0,110.85098580355776,109.35589999999999,107.86081419644222,53.530474603572515,109.651,109.266,102.816,110.186,111.975
2020-01-24,109.542,109.653,109.172,109.267,0,110.85137495214151,109.38220000000001,107.91302504785851,47.41005566796162,109.653,109.172,102.816,110.186,111.975
2020-01-26,108.916,109.121,108.731,109.102,0,110.79164395182168,109.4307,108.06975604817832,44.126210520441575,109.121,108.731,102.816,110.186,111.975
2020-01-27,109.102,109.137,108.818,108.979,0,110.70260144862395,109.47729999999999,108.25199855137602,41.80179895869273,109.137,108.818,102.816,110.186,111.975
