<<<<<<< HEAD
Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2022-01-02,115.039,115.302,115.007,115.269,0,,,,,115.302,115.007,113.656,138.999,144.847,150.356
2022-01-03,115.274,115.814,114.946,115.787,0,,,,,115.814,114.946,113.656,138.999,144.847,150.356
2022-01-04,115.786,116.352,115.653,116.054,0,,,,,116.352,115.653,113.656,138.999,144.847,150.356
2022-01-05,116.054,116.183,115.619,115.884,0,,,,,116.183,115.619,113.656,138.999,144.847,150.356
2022-01-06,115.883,116.046,115.624,115.915,0,,,,,116.046,115.624,113.656,138.999,144.847,150.356
2022-01-07,115.916,115.945,115.507,115.529,0,,,,,115.945,115.507,113.656,138.999,144.847,150.356
2022-01-09,115.569,115.849,115.544,115.808,0,,,,,115.849,115.544,113.656,138.999,144.847,150.356
2022-01-10,115.809,115.823,115.041,115.246,0,,,,,115.823,115.041,113.656,138.999,144.847,150.356
2022-01-11,115.246,115.679,115.124,115.384,0,,,,,115.679,115.124,113.656,138.999,144.847,150.356
2022-01-12,115.383,115.471,114.379,114.565,0,,,,,115.471,114.379,113.656,138.999,144.847,150.356
2022-01-13,114.565,114.648,113.636,113.739,0,,,,,114.648,113.636,113.656,138.999,144.847,150.356
2022-01-14,113.74,114.265,113.48,114.187,0,,,,,114.265,113.48,113.656,138.999,144.847,150.356
2022-01-16,114.12,114.514,114.119,114.408,0,,,,,114.514,114.119,113.656,138.999,144.847,150.356
2022-01-17,114.407,115.056,114.309,114.853,0,,,,46.076676956466635,115.056,114.309,113.656,138.999,144.847,150.356
2022-01-18,114.853,114.988,114.364,114.377,0,,,,40.29081374863892,114.988,114.364,113.656,138.999,144.847,150.356
2022-01-19,114.378,114.551,114.022,114.422,0,,,,41.04451883135982,114.551,114.022,113.656,138.999,144.847,150.356
2022-01-20,114.423,114.546,113.624,113.767,0,,,,34.26466603710669,114.546,113.624,113.656,138.999,144.847,150.356
2022-01-21,113.767,114.032,113.603,113.656,0,,,,33.26194730307803,114.032,113.603,113.656,138.999,144.847,150.356
