Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2012-01-31,76.948,78.274,76.136,76.187,0,,,,,78.274,76.136
2012-02-29,76.186,81.664,76.017,81.021,0,,,,,81.664,76.017
2012-03-31,81.022,84.17,80.578,82.845,0,,,,,84.17,80.578
2012-04-30,83.019,83.295,79.728,79.854,0,,,,,83.295,79.728
2012-05-31,79.853,80.604,78.204,78.439,0,,,,,80.604,78.204
2012-06-30,78.437,80.613,77.654,79.785,0,,,,,80.613,77.654
2012-07-31,79.851,80.088,77.904,78.007,0,,,,,80.088,77.904
2012-08-31,78.009,79.65,77.987,78.378,0,,,,,79.65,77.987
2012-09-30,78.339,79.21,77.122,77.871,0,,,,,79.21,77.122
2012-10-31,77.87,80.37,77.78,80.068,0,,,,,80.37,77.78
2012-11-30,80.069,82.827,79.068,82.471,0,,,,,82.827,79.068
2012-12-31,82.379,86.78,81.71,86.741,0,,,,,86.78,81.71
