Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2000-06-04,106.6,109.1,106.25,108.19,0,,,,,109.1,106.25
2000-06-11,108.21,108.31,105.25,106.97,0,,,,,108.31,105.25
2000-06-18,107.02,107.21,106.08,106.25,0,,,,,107.21,106.08
2000-06-25,106.24,106.3,103.95,104.58,0,,,,,106.3,103.95
2000-07-02,104.57,106.39,104.32,105.98,0,,,,,106.39,104.32
2000-07-09,105.97,107.98,105.45,107.41,0,,,,,107.98,105.45
2000-07-16,107.4,108.56,106.65,108.14,0,,,,,108.56,106.65
2000-07-23,108.15,109.21,107.34,108.76,0,,,,,109.21,107.34
2000-07-30,108.77,109.82,108.49,109.51,0,,,,,109.82,108.49
2000-08-06,109.51,109.81,107.91,108.72,0,,,,,109.81,107.91
2000-08-13,108.73,109.29,107.53,108.78,0,,,,,109.29,107.53
2000-08-20,108.78,109.66,108.05,108.29,0,,,,,109.66,108.05
2000-08-27,108.31,108.84,106.24,106.35,0,,,,,108.84,106.24
2000-09-03,106.36,106.82,105.58,105.86,0,,,,37.15234402570806,106.82,105.58
2000-09-10,105.87,106.55,104.81,106.25,0,,,,40.35420188568446,106.55,104.81
2000-09-17,106.24,107.81,105.95,107.17,0,,,,47.18927266874741,107.81,105.95
2000-09-24,107.16,108.18,106.35,107.82,0,,,,51.424624933315954,108.18,106.35
2000-10-01,107.81,108.47,107.2,108.25,0,,,,54.05000760726151,108.47,107.2
2000-10-08,108.22,109.66,108.13,108.96,0,,,,58.0788833321047,109.66,108.13
2000-10-15,108.97,109.15,107.37,107.84,0,110.01588694013086,107.50399999999999,104.99211305986913,50.54949636750879,109.15,107.37
2000-10-22,107.86,109.2,107.44,108.93,0,110.11329003030374,107.54100000000001,104.96870996969628,56.46477626725064,109.2,107.44
2000-10-29,108.94,109.06,107.65,108.69,0,110.23198061413132,107.627,105.02201938586867,54.90736047488187,109.06,107.65
2000-11-05,108.7,109.31,106.84,107.27,0,110.21212391172965,107.678,105.14387608827035,46.69996591373457,109.31,106.84
2000-11-12,107.26,108.08,106.9,108.0,0,109.94805597829118,107.849,105.74994402170883,50.773686673769596,108.08,106.9
2000-11-19,108.01,109.13,107.43,109.05,0,109.97775567965263,108.00250000000001,106.02724432034739,55.98466110107992,109.13,107.43
2000-11-26,109.04,111.49,108.94,111.29,0,110.61360798269337,108.19650000000001,105.77939201730666,64.595149688187,111.49,108.94
2000-12-03,111.28,112.05,109.84,111.17,0,111.08995258894092,108.34799999999998,105.60604741105905,63.87426209293283,112.05,109.84
2000-12-10,111.18,111.47,110.19,110.89,0,111.40938392327007,108.45450000000001,105.49961607672995,62.131879188803005,111.47,110.19
2000-12-17,110.87,112.85,110.58,112.64,0,112.06270045050259,108.61099999999999,105.15929954949739,68.00609224557772,112.85,110.58
2000-12-24,112.65,113.2,111.9,112.75,0,112.70810200739243,108.8125,104.91689799260757,68.3385572676139,113.2,111.9
2000-12-31,113.46,115.05,113.38,114.41,0,113.6901871154251,109.09399999999998,104.49781288457486,72.91301325991563,115.05,113.38
