Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,resistance_level_1
2010-01-03,92.97,93.09,92.69,92.74,0,,,,,93.09,92.69,94.38
2010-01-10,92.75,93.77,91.25,92.34,0,,,,,93.77,91.25,94.38
2010-01-17,92.33,92.66,90.6,90.9,0,,,,,92.66,90.6,94.38
2010-01-24,90.91,91.87,89.78,90.09,0,,,,,91.87,89.78,94.38
2010-01-31,90.1,90.92,89.14,90.21,0,,,,,90.92,89.14,94.38
2010-02-07,90.2,91.28,88.55,89.34,0,,,,,91.28,88.55,94.38
2010-02-14,89.33,90.42,89.14,90.15,0,,,,,90.42,89.14,94.38
2010-02-21,90.16,92.15,89.7,91.64,0,,,,,92.15,89.7,94.38
2010-02-28,91.64,91.72,88.74,89.1,0,,,,,91.72,88.74,94.38
2010-03-07,89.09,90.68,88.14,90.42,0,,,,,90.68,88.14,94.38
2010-03-14,90.41,91.08,89.63,90.65,0,,,,,91.08,89.63,94.38
2010-03-21,90.64,90.8,89.76,90.47,0,,,,,90.8,89.76,94.38
2010-03-28,90.48,92.95,89.83,92.68,0,,,,,92.95,89.83,94.38
2010-04-04,92.69,94.78,92.12,94.38,0,,,,64.20503672799131,94.78,92.12,94.38
2010-04-11,94.37,94.59,92.83,93.11,0,,,,56.47612470527999,94.59,92.83,94.38
2010-04-18,93.12,93.72,91.82,91.99,0,,,,50.68183050559945,93.72,91.82,94.38
2010-04-25,92.0,94.36,91.59,94.19,0,,,,59.4767066663268,94.36,91.59,94.38
2010-05-02,94.2,94.58,92.81,93.91,0,,,,58.057641935722614,94.58,92.81,94.38
2010-05-09,93.92,94.98,88.26,92.6,0,,,,51.82730072918381,94.98,88.26,94.38
2010-05-16,92.61,93.64,91.76,91.78,0,94.73168242924112,91.6345,88.53731757075889,48.33102492918488,93.64,91.76,94.38
2010-05-23,91.77,92.97,88.96,90.15,0,94.622976908189,91.505,88.38702309181099,42.23216235321498,92.97,88.96,94.38
2010-05-30,90.16,91.52,89.25,91.37,0,94.55110352872543,91.4565,88.36189647127458,47.56547552265288,91.52,89.25,94.38
2010-06-06,91.38,92.87,90.53,91.16,0,94.55681906352419,91.4695,88.3821809364758,46.76513045619353,92.87,90.53,94.38
2010-06-13,91.17,92.07,90.82,91.87,0,94.58361669196412,91.55850000000001,88.5333833080359,49.83826594572774,92.07,90.82,94.38
2010-06-20,91.86,92.1,90.25,90.75,0,94.57137658820653,91.5855,88.59962341179346,45.38720715118583,92.1,90.25,94.38
2010-06-27,90.76,91.47,89.21,89.4,0,94.56545330833386,91.5885,88.61154669166613,40.67204291899668,91.47,89.21,94.38
2010-07-04,89.39,89.46,86.96,87.88,0,94.81378121475484,91.475,88.13621878524515,36.121868221786045,89.46,86.96,94.38
2010-07-11,87.89,89.14,87.01,89.08,0,94.84323855021363,91.347,87.85076144978636,41.66999573050448,89.14,87.01,94.38
2010-07-18,89.09,89.1,86.25,86.65,0,95.16990479545508,91.2245,87.27909520454493,35.03415973001539,89.1,86.25,94.38
2010-07-25,86.66,87.71,86.33,87.65,0,95.31866535412378,91.086,86.85333464587622,39.31686886240321,87.71,86.33,94.38
2010-08-01,87.66,88.11,85.93,86.51,0,95.55810205060756,90.879,86.19989794939245,36.37310210951822,88.11,85.93,94.38
2010-08-08,86.52,86.87,85.01,85.41,0,95.87828483614511,90.626,85.3737151638549,33.74744568699772,86.87,85.01,94.38
2010-08-15,85.41,86.36,84.72,85.8,0,95.84324302651844,90.28200000000001,84.72075697348158,35.52453256138641,86.36,84.72,94.38
2010-08-22,85.79,85.95,84.88,85.34,0,95.45460309710828,89.83000000000001,84.20539690289175,34.35405798545058,85.95,84.88,94.38
2010-08-29,85.34,85.89,83.58,85.38,0,95.17476958011922,89.4435,83.71223041988078,34.555983130528986,85.89,83.58,94.38
2010-09-05,85.37,85.46,83.66,84.33,0,95.07659000930006,89.0605,83.04440999069995,31.79153756604623,85.46,83.66,94.38
2010-09-12,84.34,84.37,83.33,84.13,0,94.4550346544128,88.55749999999999,82.65996534558718,31.278259451492787,84.37,83.33,94.38
2010-09-19,84.14,85.92,82.86,85.67,0,93.62634108508904,88.1455,82.66465891491096,39.3924195019747,85.92,82.86,94.38
2010-09-26,85.68,85.79,84.1,84.23,0,93.05961324305449,87.727,82.39438675694552,35.206432342345934,85.79,84.1,94.38
2010-10-03,84.22,84.33,83.15,83.54,0,92.60448201622805,87.315,82.02551798377195,33.376251212691415,84.33,83.15,94.38
2010-10-10,83.55,83.97,81.37,82.02,0,92.50471398804585,86.9085,81.31228601195416,29.71201590813874,83.97,81.37,94.38
2010-10-17,82.01,82.35,80.86,81.3,0,92.11583356437569,86.405,80.69416643562431,28.136270941643133,82.35,80.86,94.38
2010-10-24,81.31,81.91,80.83,81.05,0,91.6270386511136,85.89950000000002,80.17196134888644,27.589148780237423,81.91,80.83,94.38
2010-10-31,81.06,81.97,80.23,80.64,0,90.81035452067937,85.338,79.86564547932062,26.673097567547174,81.97,80.23,94.38
2010-11-07,80.63,81.57,80.32,81.18,0,90.01999018989476,84.8595,79.69900981010524,29.9711172042077,81.57,80.32,94.38
2010-11-14,81.19,82.78,80.52,82.69,0,89.31967888833272,84.524,79.72832111166728,38.32463660651433,82.78,80.52,94.38
2010-11-21,82.7,83.77,82.62,83.38,0,88.86027569874922,84.299,79.7377243012508,41.744331090877594,83.77,82.62,94.38
2010-11-28,83.39,84.19,82.78,84.07,0,88.04764128282562,84.0485,80.04935871717439,45.02687610992922,84.19,82.78,94.38
2010-12-05,84.06,84.39,82.51,82.94,0,87.70327134457972,83.863,80.02272865542028,40.95671457758335,84.39,82.51,94.38
2010-12-12,82.96,84.29,82.33,84.11,0,87.11620349250596,83.68599999999999,80.25579650749403,46.36297103200575,84.29,82.33,94.38
2010-12-19,84.1,84.5,82.83,83.86,0,86.7326714329366,83.5535,80.3743285670634,45.40626019890166,84.5,82.83,94.38
2010-12-26,83.87,83.91,82.77,82.88,0,86.50019442925438,83.42699999999999,80.3538055707456,41.76776797551483,83.91,82.77,94.38
