Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1
2024-01-07,140.843,145.976,140.811,144.462,0,,,,,145.976,140.811,140.12,161.05
2024-01-14,144.467,146.414,143.419,145.167,0,,,,,146.414,143.419,140.12,161.05
2024-01-21,145.168,148.802,145.097,147.839,0,,,,,148.802,145.097,140.12,161.05
2024-01-28,147.838,148.694,146.648,148.064,0,,,,,148.694,146.648,140.12,161.05
2024-02-04,148.064,148.82,145.896,148.433,0,,,,,148.82,145.896,140.12,161.05
2024-02-11,148.432,149.575,147.618,149.222,0,,,,,149.575,147.618,140.12,161.05
2024-02-18,149.223,150.883,148.926,150.025,0,,,,,150.883,148.926,140.12,161.05
2024-02-25,150.026,150.767,149.683,150.5,0,,,,,150.767,149.683,140.12,161.05
2024-03-03,150.5,150.842,149.208,150.253,0,,,,,150.842,149.208,140.12,161.05
2024-03-10,150.253,150.568,146.481,146.903,0,,,,,150.568,146.481,140.12,161.05
2024-03-17,146.903,149.328,146.483,149.112,0,,,,,149.328,146.483,140.12,161.05
2024-03-24,149.111,151.862,148.918,151.365,0,,,,,151.862,148.918,140.12,161.05
2024-03-31,151.363,151.97,151.025,151.346,0,,,,,151.97,151.025,140.12,161.05
2024-04-07,151.345,151.953,150.81,151.767,0,,,,72.66144707842864,151.953,150.81,140.12,161.05
2024-04-14,151.769,153.744,151.568,153.671,0,,,,77.39237195484603,153.744,151.568,140.12,161.05
2024-04-21,153.671,154.784,153.586,154.686,0,,,,79.43540106426136,154.784,153.586,140.12,161.05
2024-04-28,154.685,160.203,154.55,159.396,0,,,,85.83320283130747,160.203,154.55,140.12,161.05
2024-05-05,159.396,159.594,151.857,153.918,0,,,,61.76519450493295,159.594,151.857,140.12,161.05
2024-05-12,153.924,155.955,153.411,155.759,0,,,,65.28794293296764,155.955,153.411,140.12,161.05
2024-05-19,155.761,156.783,153.598,155.721,0,158.26232503213106,150.88045,143.49857496786893,65.154504270285,156.783,153.598,140.12,161.05
2024-05-26,155.721,157.194,155.493,156.703,0,158.6712725831092,151.4925,144.31372741689083,67.02985346982204,157.194,155.493,140.12,161.05
2024-06-02,156.702,157.707,156.37,157.419,0,159.1090953712149,152.1051,145.1011046287851,68.36665470999998,157.707,156.37,140.12,161.05
2024-06-09,157.421,157.461,154.548,157.151,0,159.61634526782322,152.57070000000002,145.5250547321768,67.2672537418137,157.461,154.548,140.12,161.05
2024-06-16,157.149,158.255,155.716,157.365,0,160.0579309112269,153.03574999999998,146.01356908877307,67.713724881829,158.255,155.716,140.12,161.05
2024-06-23,157.366,159.927,157.155,159.699,0,160.85746000426397,153.59904999999998,146.34063999573598,72.17198087667353,159.927,157.155,140.12,161.05
2024-06-30,159.7,161.282,158.74,161.05,0,161.84271226615368,154.19045,146.5381877338463,74.37748556924213,161.282,158.74,140.12,161.05
2024-07-07,161.049,161.949,160.26,160.486,0,162.58238732922257,154.7135,146.84461267077745,71.81848506620098,161.949,160.26,140.12,161.05
2024-07-14,160.486,161.804,157.359,157.97,0,162.8285515757501,155.087,147.34544842424987,61.6314564529238,161.804,157.359,140.12,161.05
2024-07-21,157.97,158.854,155.37,157.48,0,162.92371648666798,155.44834999999998,147.97298351333197,59.85091453007525,158.854,155.37,140.12,161.05
2024-07-28,157.476,157.512,151.941,153.511,0,162.2278205648178,155.77875,149.32967943518221,47.80382533519778,157.512,151.941,140.12,161.05
2024-08-04,153.517,155.213,144.163,144.361,0,163.19291111843614,155.5412,147.88948888156386,31.874939916305152,155.213,144.163,140.12,161.05
2024-08-11,144.36,147.897,141.676,147.196,0,163.62824400277037,155.33275,147.03725599722964,38.69142673883446,147.897,141.676,140.12,161.05
2024-08-18,147.202,149.396,146.068,146.458,0,164.09666270050056,155.08835000000002,146.08003729949948,37.63572326731905,149.396,146.068,140.12,161.05
2024-08-25,146.459,147.345,143.444,143.968,0,164.8506222867705,154.6984,144.5461777132295,34.24102178704969,147.345,143.444,140.12,161.05
2024-09-01,143.97,146.597,143.597,145.948,0,165.1554026757673,154.31225,143.4690973242327,38.95615261814203,146.597,143.597,140.12,161.05
2024-09-08,145.948,147.207,141.762,142.757,0,165.6668573691201,153.7158,141.7647426308799,34.64471610448284,147.207,141.762,140.12,161.05
2024-09-15,142.758,143.795,140.047,140.12,0,165.77614494698216,152.752,139.72785505301786,31.538348205371065,143.795,140.047,140.12,161.05
2024-09-22,140.12,144.495,139.576,144.315,0,165.78742834907558,152.27185,138.75627165092442,40.65447537456422,144.495,139.576,140.12,161.05
2024-09-29,144.316,146.491,142.066,142.45,0,165.669161740142,151.6064,137.54363825985803,38.217997438141445,146.491,142.066,140.12,161.05
2024-10-06,142.449,149.125,141.642,148.404,0,165.2366555079619,151.24055,137.24444449203813,48.77318901311661,149.125,141.642,140.12,161.05
2024-10-13,148.405,149.565,147.343,149.327,0,164.6598455302029,150.87175,137.0836544697971,50.19376798069348,149.565,147.343,140.12,161.05
2024-10-20,149.327,150.321,148.848,149.223,0,163.9308108646018,150.46195,136.9930891353982,50.025432666118306,150.321,148.848,140.12,161.05
