position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1,integrated_v1_core,BUY,2022-08-23 10:00:00,135.94500000000002,2022-08-23 13:00:00,136.626,0.5,68.09999999999832,34049.999999999156,tp
2,integrated_v1_core,BUY,2022-08-23 18:45:00,136.62,2022-08-23 20:15:00,136.922,0.5,30.19999999999925,15099.999999999625,tp
3,integrated_v1_core,BUY,2022-10-03 11:00:00,144.256,2022-10-03 14:45:00,144.73,0.5,47.399999999998954,23699.999999999476,tp
4,integrated_v1_core,SELL,2022-10-14 10:00:00,148.147,2022-10-14 10:15:00,148.335,0.5,-18.80000000000166,-9400.00000000083,sl
5,integrated_v1_core,BUY,2022-10-21 11:15:00,148.22,2022-10-21 11:30:00,147.85,0.5,-37.000000000000455,-18500.000000000226,sl
6,integrated_v1_core,BUY,2022-10-25 09:30:00,148.156,2022-10-25 09:45:00,147.772,0.5,-38.400000000001455,-19200.000000000728,sl
7,integrated_v1_core,BUY,2022-11-10 09:00:00,143.532,2022-11-10 09:15:00,143.268,0.5,-26.400000000001,-13200.0000000005,sl
8,integrated_v1_core,SELL,2022-11-24 16:30:00,138.641,2022-11-24 18:00:00,138.732,0.5,-9.100000000000819,-4550.000000000409,sl
9,integrated_v1_core,BUY,2022-12-19 22:15:00,133.63400000000001,2022-12-19 22:45:00,133.443,0.5,-19.10000000000025,-9550.000000000126,sl
10,integrated_v1_core,SELL,2023-01-03 18:15:00,131.32299999999998,2023-01-03 19:00:00,130.982,0.5,34.099999999997976,17049.99999999899,tp
11,integrated_v1_core,SELL,2023-01-17 22:00:00,130.56199999999998,2023-01-17 22:15:00,130.99,0.5,-42.80000000000257,-21400.000000001284,sl
12,integrated_v1_core,BUY,2023-01-18 09:15:00,127.72999999999999,2023-01-18 10:00:00,128.252,0.5,52.20000000000198,26100.00000000099,tp
13,integrated_v1_core,BUY,2023-02-07 10:45:00,131.244,2023-02-07 12:45:00,130.565,0.5,-67.9000000000002,-33950.0000000001,sl
14,integrated_v1_core,BUY,2023-02-19 23:30:00,134.05800000000002,2023-02-20 18:45:00,134.334,0.5,27.599999999998204,13799.999999999101,tp
15,integrated_v1_core,SELL,2023-03-07 10:00:00,136.789,2023-03-07 14:00:00,137.069,0.5,-28.000000000000114,-14000.000000000056,sl
16,integrated_v1_core,BUY,2023-03-10 09:15:00,135.41400000000002,2023-03-10 09:30:00,134.812,0.5,-60.20000000000039,-30100.000000000193,sl
17,integrated_v1_core,SELL,2023-03-28 21:15:00,131.649,2023-03-29 01:30:00,131.787,0.5,-13.800000000000523,-6900.000000000262,sl
18,integrated_v1_core,SELL,2023-04-10 09:30:00,133.43099999999998,2023-04-10 11:00:00,133.75,0.5,-31.900000000001683,-15950.00000000084,sl
19,integrated_v1_core,SELL,2023-04-14 09:00:00,133.011,2023-04-14 10:00:00,133.311,0.5,-30.000000000001137,-15000.000000000568,sl
20,integrated_v1_core,SELL,2023-05-01 11:00:00,137.37,2023-05-01 15:15:00,137.489,0.5,-11.899999999999977,-5949.999999999989,sl
21,integrated_v1_core,BUY,2023-05-02 21:45:00,136.017,2023-05-03 01:30:00,135.915,0.5,-10.200000000000387,-5100.000000000193,sl
22,integrated_v1_core,SELL,2023-05-05 09:15:00,134.867,2023-05-05 09:30:00,135.041,0.5,-17.40000000000066,-8700.00000000033,sl
23,integrated_v1_core,SELL,2023-05-16 11:00:00,136.578,2023-05-17 01:15:00,136.752,0.5,-17.40000000000066,-8700.00000000033,sl
24,integrated_v1_core,BUY,2023-06-05 09:15:00,140.053,2023-06-05 11:00:00,139.623,0.5,-43.00000000000068,-21500.000000000342,sl
