position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1,aggressive_v2_5,BUY,2022-08-11 12:45:00,132.779,2022-08-11 13:45:00,133.003,0.39,22.399999999998954,8735.999999999593,tp
2,aggressive_v2_5,BUY,2022-08-11 16:30:00,133.024,2022-08-11 18:00:00,132.88,0.39,-14.400000000000546,-5616.000000000213,sl
3,aggressive_v2_5,SELL,2022-08-11 18:45:00,132.94299999999998,2022-08-11 19:00:00,133.026,0.39,-8.300000000002683,-3237.0000000010464,sl
4,aggressive_v2_5,SELL,2022-08-14 17:15:00,133.45,2022-08-14 18:15:00,133.544,0.39,-9.400000000002251,-3666.0000000008777,sl
5,stable_v2_5,SELL,2022-08-15 05:15:00,133.292,2022-08-15 06:00:00,133.48,1.95,-18.799999999998818,-36659.99999999769,sl
6,aggressive_v2_5,BUY,2022-08-15 13:30:00,133.209,2022-08-15 18:15:00,133.104,0.39,-10.499999999998977,-4094.9999999996007,sl
7,aggressive_v2_5,BUY,2022-08-15 21:45:00,133.377,2022-08-16 01:45:00,133.297,0.39,-8.00000000000125,-3120.0000000004875,sl
8,aggressive_v2_5,BUY,2022-08-16 09:00:00,134.478,2022-08-16 10:15:00,134.266,0.39,-21.20000000000175,-8268.000000000682,sl
10,aggressive_v2_5,SELL,2022-08-16 15:45:00,134.19,2022-08-16 18:30:00,134.294,0.39,-10.400000000001342,-4056.000000000523,sl
9,aggressive_v2_5,SELL,2022-08-16 14:15:00,134.297,2022-08-16 20:00:00,134.388,0.39,-9.100000000000819,-3549.0000000003192,sl
11,aggressive_v2_5,SELL,2022-08-16 22:30:00,134.076,2022-08-16 23:00:00,134.157,0.39,-8.100000000001728,-3159.000000000674,sl
12,aggressive_v2_5,SELL,2022-08-18 19:30:00,135.826,2022-08-18 20:00:00,136.154,0.39,-32.800000000000296,-12792.000000000115,sl
13,aggressive_v2_5,SELL,2022-08-19 14:15:00,136.79399999999998,2022-08-19 14:45:00,136.891,0.39,-9.700000000000841,-3783.0000000003283,sl
14,stable_v2_5,BUY,2022-08-21 18:00:00,136.941,2022-08-21 22:00:00,137.394,1.95,45.300000000000296,88335.00000000058,tp
15,aggressive_v2_5,BUY,2022-08-21 22:30:00,137.351,2022-08-21 23:00:00,137.245,0.39,-10.599999999999454,-4133.999999999787,sl
16,aggressive_v2_5,BUY,2022-08-22 08:15:00,137.042,2022-08-22 09:00:00,137.216,0.39,17.40000000000066,6786.000000000257,tp
17,aggressive_v2_5,BUY,2022-08-22 10:30:00,137.27200000000002,2022-08-22 10:45:00,137.183,0.39,-8.900000000002706,-3471.000000001055,sl
