position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1,aggressive_v3,BUY,2022-08-09 15:00:00,135.198,2022-08-09 15:15:00,135.121,0.68,-7.699999999999818,-5235.999999999876,sl
2,stable_v3,BUY,2022-08-09 15:00:00,135.198,2022-08-09 22:00:00,135.042,2.04,-15.600000000000591,-31824.000000001208,sl
3,stable_v3,BUY,2022-08-09 20:00:00,135.155,2022-08-09 22:45:00,134.993,2.04,-16.200000000000614,-33048.00000000125,sl
4,aggressive_v3,SELL,2022-08-09 23:45:00,134.94299999999998,2022-08-10 01:15:00,135.027,0.68,-8.400000000000318,-5712.0000000002165,sl
5,stable_v3,SELL,2022-08-10 06:00:00,134.91899999999998,2022-08-10 08:30:00,132.793,2.04,212.59999999999764,433703.99999999517,tp
6,aggressive_v3,SELL,2022-08-10 08:30:00,132.791,2022-08-10 08:45:00,133.142,0.68,-35.09999999999991,-23867.999999999938,sl
7,aggressive_v3,SELL,2022-08-10 09:45:00,132.58499999999998,2022-08-10 10:00:00,132.362,0.68,22.299999999998477,15163.999999998965,tp
8,stable_v3,SELL,2022-08-10 11:00:00,132.271,2022-08-10 11:15:00,132.44,2.04,-16.900000000001114,-34476.00000000227,sl
10,aggressive_v3,BUY,2022-08-10 22:15:00,133.149,2022-08-11 00:00:00,133.052,0.68,-9.700000000000841,-6596.000000000573,sl
9,stable_v3,BUY,2022-08-10 21:00:00,132.925,2022-08-11 02:45:00,132.681,2.04,-24.399999999999977,-49775.999999999956,sl
11,aggressive_v3,SELL,2022-08-11 08:15:00,132.039,2022-08-11 09:15:00,132.139,0.68,-10.000000000002274,-6800.000000001547,sl
12,aggressive_v3,SELL,2022-08-11 18:15:00,132.885,2022-08-11 19:00:00,133.026,0.68,-14.100000000001955,-9588.00000000133,sl
13,aggressive_v3,BUY,2022-08-11 22:00:00,133.333,2022-08-12 00:00:00,133.196,0.68,-13.700000000000045,-9316.000000000031,sl
14,stable_v3,BUY,2022-08-11 22:00:00,133.333,2022-08-12 00:15:00,133.146,2.04,-18.700000000001182,-38148.000000002416,sl
15,stable_v3,BUY,2022-08-12 03:00:00,133.263,2022-08-12 07:15:00,133.791,2.04,52.79999999999916,107711.99999999828,tp
16,aggressive_v3,BUY,2022-08-12 06:45:00,133.60600000000002,2022-08-12 07:15:00,133.791,0.68,18.499999999997385,12579.999999998223,tp
17,stable_v3,BUY,2022-08-12 08:00:00,133.668,2022-08-12 09:45:00,133.472,2.04,-19.599999999999795,-39983.999999999585,sl
18,aggressive_v3,SELL,2022-08-14 20:30:00,133.19799999999998,2022-08-14 21:45:00,133.286,0.68,-8.800000000002228,-5984.000000001515,sl
19,aggressive_v3,SELL,2022-08-15 07:45:00,133.178,2022-08-15 08:15:00,132.783,0.68,39.50000000000102,26860.0000000007,tp
20,aggressive_v3,SELL,2022-08-15 09:00:00,132.652,2022-08-15 09:45:00,132.738,0.68,-8.600000000001273,-5848.000000000866,sl
21,aggressive_v3,BUY,2022-08-15 14:00:00,133.291,2022-08-15 18:00:00,133.21,0.68,-8.099999999998886,-5507.999999999242,sl
23,aggressive_v3,SELL,2022-08-15 19:00:00,133.06,2022-08-15 19:45:00,133.132,0.68,-7.200000000000273,-4896.0000000001855,sl
22,core_v3,BUY,2022-08-15 19:00:00,133.06400000000002,2022-08-15 20:30:00,132.981,1.02,-8.300000000002683,-8466.000000002736,sl
24,aggressive_v3,SELL,2022-08-15 20:15:00,133.04899999999998,2022-08-15 20:45:00,133.191,0.68,-14.200000000002433,-9656.000000001655,sl
26,aggressive_v3,BUY,2022-08-16 06:15:00,134.175,2022-08-16 06:30:00,134.101,0.68,-7.400000000001228,-5032.000000000835,sl
25,stable_v3,BUY,2022-08-16 05:00:00,134.031,2022-08-16 07:30:00,134.443,2.04,41.200000000000614,84048.00000000125,tp
27,aggressive_v3,BUY,2022-08-16 07:30:00,134.44500000000002,2022-08-16 08:00:00,134.341,0.68,-10.400000000001342,-7072.000000000913,sl
28,aggressive_v3,BUY,2022-08-16 08:45:00,134.59400000000002,2022-08-16 09:00:00,134.476,0.68,-11.800000000002342,-8024.0000000015925,sl
29,aggressive_v3,SELL,2022-08-16 15:00:00,134.178,2022-08-16 18:15:00,134.251,0.68,-7.30000000000075,-4964.00000000051,sl
30,aggressive_v3,BUY,2022-08-16 20:00:00,134.39000000000001,2022-08-16 20:45:00,134.127,0.68,-26.300000000000523,-17884.000000000357,sl
32,aggressive_v3,BUY,2022-08-17 08:30:00,135.21800000000002,2022-08-17 08:45:00,135.102,0.68,-11.600000000001387,-7888.000000000944,sl
31,aggressive_v3,BUY,2022-08-17 07:15:00,135.163,2022-08-17 09:15:00,135.057,0.68,-10.600000000002296,-7208.0000000015625,sl
33,aggressive_v3,BUY,2022-08-17 11:00:00,135.464,2022-08-17 11:15:00,135.354,0.68,-10.999999999998522,-7479.999999998996,sl
34,stable_v3,BUY,2022-08-17 11:00:00,135.464,2022-08-17 12:30:00,135.311,2.04,-15.299999999999159,-31211.999999998283,sl
35,aggressive_v3,BUY,2022-08-17 12:15:00,135.46,2022-08-17 12:30:00,135.311,0.68,-14.900000000000091,-10132.000000000062,sl
36,stable_v3,SELL,2022-08-17 21:00:00,134.834,2022-08-17 23:45:00,135.066,2.04,-23.199999999999932,-47327.99999999986,sl
37,aggressive_v3,SELL,2022-08-18 08:15:00,134.721,2022-08-18 08:30:00,135.082,0.68,-36.099999999999,-24547.99999999932,sl
38,aggressive_v3,BUY,2022-08-18 12:00:00,135.375,2022-08-18 12:45:00,135.638,0.68,26.300000000000523,17884.000000000357,tp
39,aggressive_v3,BUY,2022-08-18 13:15:00,135.88,2022-08-18 19:45:00,135.803,0.68,-7.699999999999818,-5235.999999999876,sl
40,aggressive_v3,BUY,2022-08-18 20:45:00,136.276,2022-08-18 21:15:00,136.164,0.68,-11.20000000000232,-7616.000000001578,sl
41,stable_v3,BUY,2022-08-19 03:00:00,136.54600000000002,2022-08-19 07:15:00,136.975,2.04,42.89999999999736,87515.99999999462,tp
42,aggressive_v3,BUY,2022-08-19 06:45:00,136.863,2022-08-19 10:30:00,137.21,0.68,34.70000000000084,23596.00000000057,tp
44,aggressive_v3,BUY,2022-08-19 10:30:00,137.21200000000002,2022-08-19 10:45:00,137.121,0.68,-9.100000000000819,-6188.0000000005575,sl
45,aggressive_v3,SELL,2022-08-19 14:15:00,136.79399999999998,2022-08-19 14:45:00,136.891,0.68,-9.700000000000841,-6596.000000000573,sl
46,aggressive_v3,BUY,2022-08-21 18:00:00,136.941,2022-08-21 20:15:00,137.253,0.68,31.19999999999834,21215.999999998872,tp
43,stable_v3,BUY,2022-08-19 08:00:00,136.92700000000002,2022-08-21 21:00:00,137.36,2.04,43.29999999999927,88331.99999999852,tp
