,エントリー時間,決済時間,取引方向,エントリー価格,決済価格,損益(pips),損益(円),決済理由,戦略,ロットサイズ
0,2024-01-05 07:00:00,2024-01-05 08:30:00,売り,145.198,145.299,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
1,2024-01-08 07:00:00,2024-01-08 07:45:00,買い,144.65,144.549,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
2,2024-01-10 07:00:00,2024-01-10 07:30:00,売り,145.03799999999998,145.13899999999998,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
3,2024-01-11 07:00:00,2024-01-11 08:30:00,買い,145.40200000000002,145.55100000000002,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
4,2024-01-12 07:00:00,2024-01-12 07:45:00,買い,145.21800000000002,145.36700000000002,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
5,2024-01-15 07:00:00,2024-01-15 07:15:00,売り,145.751,145.852,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
6,2024-01-16 07:00:00,2024-01-16 08:30:00,売り,146.755,146.606,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
7,2024-01-17 07:00:00,2024-01-17 08:15:00,売り,147.688,147.789,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
8,2024-01-18 07:00:00,2024-01-18 07:30:00,買い,147.767,147.916,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
9,2024-01-24 07:00:00,2024-01-24 07:15:00,買い,147.455,147.354,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
10,2024-01-30 07:00:00,2024-01-30 08:00:00,買い,147.415,147.564,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
11,2024-02-01 07:00:00,2024-02-01 07:15:00,売り,147.009,147.10999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
