year,has_data,trades,profit,win_rate,initial_balance,final_balance
2000,True,65,-5.649999999999409,36.92307692307693,200000.0,199994.3499999994
2001,False,0,0.0,0.0,200000.0,200000.0
2002,False,0,0.0,0.0,200000.0,200000.0
2003,False,0,0.0,0.0,200000.0,200000.0
2004,False,0,0.0,0.0,200000.0,200000.0
2005,False,0,0.0,0.0,200000.0,200000.0
2006,False,0,0.0,0.0,200000.0,200000.0
2007,False,0,0.0,0.0,200000.0,200000.0
2008,False,0,0.0,0.0,200000.0,200000.0
2009,False,0,0.0,0.0,200000.0,200000.0
2010,False,0,0.0,0.0,200000.0,200000.0
2011,False,0,0.0,0.0,200000.0,200000.0
2012,False,0,0.0,0.0,200000.0,200000.0
2013,False,0,0.0,0.0,200000.0,200000.0
2014,False,0,0.0,0.0,200000.0,200000.0
2015,False,0,0.0,0.0,200000.0,200000.0
2016,False,0,0.0,0.0,200000.0,200000.0
2017,False,0,0.0,0.0,200000.0,200000.0
2018,False,0,0.0,0.0,200000.0,200000.0
2019,False,0,0.0,0.0,200000.0,200000.0
2020,False,0,0.0,0.0,200000.0,200000.0
2021,False,0,0.0,0.0,200000.0,200000.0
2022,False,0,0.0,0.0,200000.0,200000.0
2023,False,0,0.0,0.0,200000.0,200000.0
2024,False,0,0.0,0.0,200000.0,200000.0
2025,False,0,0.0,0.0,200000.0,200000.0
